id,Sex,Race,Grade
1,Female,White,12
2,Female,White,10
3,Male,White,8
4,Male,White,11
5,Female,American Indian,7
6,Female,White,10
7,Male,White,8
8,Female,White,9
9,Female,White,12
10,Male,White,11
11,Male,White,10
12,Male,White,7
13,Female,Not Listed,0
14,Female,White,12
15,Female,Not Listed,11
16,Female,White,9
17,Male,White,9
18,Female,White,8
19,Male,White,7
20,Male,White,9
21,Female,White,7
22,Male,White,11
23,Male,American Indian,12
24,Male,White,12
25,Male,Other,11
26,Female,White,9
27,Female,White,10
28,Female,Other,10
29,Male,White,12
30,Male,White,8
31,Female,White,7
32,Male,American Indian,7
