from,to,rank
1,9,1
1,10,1
1,14,2
1,15,1
1,22,1
1,23,1
1,24,5
1,29,1
3,7,1
3,30,1
4,6,4
4,9,1
4,10,4
4,22,2
4,23,3
4,24,3
4,29,3
5,13,1
6,10,5
6,17,2
6,23,2
6,25,2
6,26,2
6,29,5
9,4,1
9,23,1
9,24,1
9,26,1
9,29,2
10,2,2
10,4,3
10,6,3
10,14,1
10,22,3
10,23,2
10,24,2
10,29,2
11,24,2
12,3,1
12,7,1
12,19,3
12,20,1
12,22,1
13,5,2
13,21,2
14,1,2
14,10,5
14,23,1
14,24,3
14,29,3
15,9,2
15,22,1
15,25,1
15,28,2
15,30,1
16,2,2
17,20,1
17,26,1
18,6,1
19,12,3
20,17,3
21,13,1
22,1,2
22,2,2
22,4,5
22,10,4
22,23,2
22,24,4
22,26,1
22,29,3
23,4,3
23,6,1
23,9,1
23,22,2
23,26,1
23,29,3
24,1,6
24,4,4
24,14,3
24,23,3
24,29,4
25,8,3
25,9,1
25,26,2
25,29,6
26,6,2
26,8,2
26,9,1
26,17,2
26,23,2
26,29,2
27,2,2
27,6,2
27,28,2
28,2,1
28,15,2
29,4,6
29,6,2
29,9,3
29,14,2
29,23,4
29,24,5
29,25,6
29,26,2
30,1,1
30,2,1
30,3,1
30,7,1
30,15,1
30,17,1
30,19,1
30,28,1
30,31,3
30,32,2
31,5,2
31,7,5
31,13,1
31,30,3
31,32,2
32,3,2
32,8,3
32,13,3
32,17,2
32,19,2
32,21,2
32,25,2
32,30,2
